Dataset,Spuntik_time,Sputnik_gflops,cuSparse_time,cuSparse_gflops,ours_time,ours_gflops
circuit5M_dc, 173.690887, 282.899896, 160.123901, 306.869453, 103.554047, 474.507136
circuit_4, 12.466176, 63.168227, 2.965504, 265.542133, 2.108416, 373.487115
cit-HepPh, 2.225152, 485.018404, 2.739200, 393.998114, 1.938432, 556.759119
cit-HepTh, 2.092032, 431.726637, 2.383872, 378.873491, 1.645568, 548.859672
cit-Patents, 187.068420, 226.059037, 185.690109, 227.736992, 137.801727, 306.879367
citationCiteseer, 17.175552, 344.794305, 19.173376, 308.867495, 14.457856, 409.606553
ckt11752_dc_1, 6.055936, 140.779932, 2.434048, 350.261894, 1.728512, 493.230140
ckt11752_tr_0, 6.052864, 140.851377, 2.445312, 348.648447, 1.733632, 491.773488
cnr-2000, 16.713728, 492.609976, 17.024000, 483.631875, 13.280256, 619.969145
co2010, 9.648128, 258.590014, 7.971840, 312.965322, 5.428224, 459.617989
co9, 1.453056, 193.183583, 1.047552, 267.964323, 1.011712, 277.456996
coAuthorsCiteseer, 11.962368, 348.456600, 11.292672, 369.121322, 8.138752, 512.162809
coAuthorsDBLP, 16.031744, 312.236842, 14.936064, 335.141922, 10.923008, 458.271305
coPapersCiteseer, 99.643394, 824.018560, 132.604935, 619.192691, 101.356544, 810.090822
coPapersDBLP, 110.662659, 705.370117, 138.347519, 564.217798, 104.079361, 749.986662
cond-mat-2003, 1.661952, 369.775104, 1.906688, 322.312034, 1.266688, 485.161686
cond-mat-2005, 2.207744, 407.451320, 2.576384, 349.151422, 1.729536, 520.109515
conf5_4-8x8-05, 6.013952, 815.991857, 7.888896, 622.056076, 6.684672, 734.117660
conf5_4-8x8-10, 6.081536, 806.923749, 7.894016, 621.652630, 6.686720, 733.892814
conf5_4-8x8-15, 6.018048, 815.436473, 7.895040, 621.571982, 6.691840, 733.331274
conf5_4-8x8-20, 6.005760, 817.104833, 7.894016, 621.652630, 6.682624, 734.342645
conf6_0-8x8-20, 6.016000, 815.714070, 7.900160, 621.169164, 6.683648, 734.230109
conf6_0-8x8-30, 6.037504, 812.808657, 7.899136, 621.249671, 6.681600, 734.455162
conf6_0-8x8-80, 6.004736, 817.244209, 7.899136, 621.249671, 6.672384, 735.469637
consph, 17.067007, 901.554018, 23.997440, 641.186251, 17.367041, 885.978741
cont-201, 3.478528, 322.928317, 3.630080, 309.446405, 2.369536, 474.065486
cont-300, 7.589888, 333.309157, 7.578624, 333.804563, 5.030912, 502.847046
cont11_l, 56.221695, 245.109605, 56.034306, 245.929298, 40.768513, 338.017664
cont1_l, 68.632576, 262.294066, 63.878143, 281.816542, 44.394497, 405.498850
cop20k_A, 11.670528, 575.662654, 44.804096, 149.948061, 8.701952, 772.043718
copter1, 1.104896, 489.026899, 1.399808, 385.998523, 0.974848, 554.264722
copter2, 4.008960, 485.282276, 4.361216, 446.085929, 2.854912, 681.449057
crankseg_1, 28.620800, 949.392665, 44.889088, 605.322563, 28.339199, 958.826590
crankseg_2, 37.862400, 956.650303, 59.947006, 604.218271, 37.577728, 963.897451
crashbasis, 8.823808, 507.838011, 11.374592, 393.953913, 6.050816, 740.572002
crplat2, 3.098624, 793.907801, 3.611648, 681.135510, 2.967552, 828.973445
crystk02, 2.922496, 848.443389, 3.729408, 664.870259, 2.907136, 852.926217
crystk03, 5.082112, 882.116692, 6.703104, 668.796973, 5.136384, 872.796051
crystm02, 1.342464, 615.760883, 1.728512, 478.236065, 1.216512, 679.513909
crystm03, 2.404352, 621.560916, 3.007488, 496.910110, 1.969152, 758.931367
ct2010, 3.135488, 274.617894, 2.991104, 287.874027, 1.952768, 440.943898
ct20stif, 8.602624, 803.018396, 9.835520, 702.358943, 8.625152, 800.921024
cvxbqp1, 2.685952, 333.557002, 3.046400, 294.090750, 1.952768, 458.793925
cvxqp3, 0.877568, 357.240371, 1.187840, 263.926727, 0.718848, 436.118240
