Dataset,ASpT,Sputnik,RoDe
g7jac060sc,0.104448,0.397184,0.052224
g7jac080,0.105472,0.419968,0.053248
g7jac080sc,0.106496,0.419264,0.055296
g7jac100,0.104448,0.406560,0.057344
g7jac100sc,0.105472,0.405056,0.055296
g7jac120,0.115712,0.419808,0.056320
g7jac120sc,0.113664,0.414816,0.056320
g7jac140,0.108544,0.430848,0.066560
g7jac140sc,0.107520,0.409984,0.057344
g7jac160,0.116736,0.910400,0.059392
g7jac160sc,0.114688,0.917088,0.059392
g7jac180,0.116736,0.945952,0.058368
g7jac180sc,0.116736,0.916096,0.059392
g7jac200,0.115712,1.320736,0.061440
g7jac200sc,0.116736,0.916192,0.059392
ga2010,0.086944,1.343744,0.071680
garon2,0.102624,0.386048,0.054272
gas_sensor,0.101376,0.877088,0.057344
gearbox,10.406912,1.136256,0.069632
graphics,0.072608,0.388416,0.053248
great-britain_osm,0.446976,2.364096,0.407552
gridgena,0.083520,0.885312,0.058368
gsm_106857,0.292864,2.648096,0.090112
gupta1,10.228736,0.425088,0.057344
gupta2,12.337152,0.441120,0.070656
gupta3,29.611008,0.425984,0.081920
gyro,4.475904,0.406560,0.057344
gyro_k,4.549632,0.405536,0.055296
gyro_m,0.091168,0.403008,0.055296
halfb,10.985472,0.930784,0.076800
hangGlider_4,0.182272,0.405504,0.053248
hangGlider_5,0.187392,0.406528,0.053248
hcircuit,0.096256,0.894496,0.061440
helm2d03,0.095232,1.568352,0.076800
helm3d01,0.091776,0.398624,0.056320
hi2010,0.073376,0.417280,0.051200
hollywood-2009,53.766144,3.063392,0.136192
hood,0.149216,0.892352,0.070656
hugetrace-00000,0.306944,1.962976,0.264192
hugetric-00000,0.373984,2.224064,0.437248
hugetric-00010,0.401984,2.212352,0.361472
hugetric-00020,0.434016,2.279712,0.374784
human_gene1,25.488384,0.416320,0.070656
human_gene2,21.391359,0.420864,0.067584
hvdc1,0.082688,0.398944,0.052224
hvdc2,0.094528,0.998528,0.078848
iChem_Jacobian,0.105216,1.388672,0.074752
ia2010,0.085504,0.891968,0.067584
ibm_matrix_2,0.176128,0.917632,0.058368
id2010,0.075968,0.897728,0.063488
igbt3,0.090080,0.395264,0.052224
il2010,0.108416,1.397376,0.075776
image_interp,0.078880,0.954880,0.067584
in-2004,21.567488,1.588224,0.114688
in2010,0.086656,1.350048,0.071680
inlet,0.096576,0.403456,0.054272
inline_1,18.210815,1.936544,0.084992
ins2,11.575296,1.397632,0.106496
internet,0.084832,0.938272,0.062464
invextr1_new,9.984000,0.442400,0.074752
italy_osm,0.397280,6.467840,0.358400
jan99jac060,0.070272,0.404096,0.051200
jan99jac060sc,0.070368,0.407904,0.054272
jan99jac080,0.072384,0.398784,0.052224
jan99jac080sc,0.071680,0.403968,0.051200
jan99jac100,0.072192,0.416384,0.054272
jan99jac100sc,0.073312,0.410336,0.053248
jan99jac120,0.072480,0.404160,0.055296
jan99jac120sc,0.075552,0.405632,0.054272
jnlbrng1,0.072416,0.389568,0.054272
juba40k,0.074528,0.391776,0.055296
k1_san,0.078464,0.939456,0.060416
k3plates,0.099520,0.411648,0.055296
karted,7.793664,0.919392,0.068608
kim1,0.093344,0.395424,0.055296
kim2,0.163456,1.422656,0.082944
kkt_power,0.216864,1.554848,0.149504
kneser_10_4_1,0.095584,1.346592,0.073728
kron_g500-logn16,10.863616,1.104768,0.077824
kron_g500-logn17,11.801600,0.972160,0.071680
