Dataset,No_pipeline_time,No_pipeline_time,complete_time,complete_gflops
cfd1, 1.256448, 931.318233, 1.299456,900.494484
cfd2, 2.033664, 971.770524, 2.006016,985.163979
ch7-7-b5, 0.261120, 518.823546, 0.247808,546.694227
ch7-8-b3, 0.306176, 491.638785, 0.293888,512.195117
ch7-8-b4, 0.880640, 512.790715, 0.841728,536.496368
ch7-8-b5, 1.009664, 536.713965, 0.917504,590.624992
ch7-9-b3, 0.504832, 536.713965, 0.478208,566.595283
ch7-9-b4, 1.830912, 554.949666, 1.765376,575.551053
ch7-9-b5, 2.555904, 636.057714, 2.533376,641.713829
ch8-8-b3, 0.576512, 522.202506, 0.555008,542.435430
ch8-8-b4, 2.102272, 572.820254, 2.065408,583.044127
ch8-8-b5, 3.385344, 640.290376, 3.330048,650.922493
channel-500x100x100-b050, 52.211712, 1046.358263, 48.061440,1136.714936
chem_master1, 0.187392, 687.161899, 0.138240,931.486147
chipcool0, 0.302080, 595.656769, 0.290816,618.727974
chipcool1, 0.305152, 589.660237, 0.289792,620.914308
circuit5M, 74.030083, 514.595484, 74.086403,514.204291
circuit5M_dc, 22.228992, 552.624395, 22.202368,553.287093
circuit_4, 0.611328, 322.030985, 0.588800,334.352166
cit-HepPh, 0.510976, 528.028540, 0.495616,544.393091
cit-HepTh, 0.458752, 492.197259, 0.446464,505.743977
cit-Patents, 26.510336, 398.792635, 26.481665,399.224401
citationCiteseer, 3.442688, 430.044246, 3.336192,443.771884
ckt11752_dc_1, 0.466944, 456.454213, 0.440320,484.053795
ckt11752_tr_0, 0.472064, 451.503536, 0.444416,479.592468
cnr-2000, 4.822016, 426.862412, 4.761600,432.278493
co2010, 1.609728, 387.473765, 1.528832,407.976401
co9, 0.234496, 299.265833, 0.224256,312.930944
coAuthorsCiteseer, 2.289664, 455.128572, 2.271232,458.822159
coAuthorsDBLP, 2.996224, 417.667474, 2.932736,426.709160
coPapersCiteseer, 26.242048, 782.217965, 25.964544,790.578158
coPapersDBLP, 29.851648, 653.717105, 29.574144,659.851148
cond-mat-2003, 0.230400, 666.827789, 0.210944,728.331321
cond-mat-2005, 0.471040, 477.426620, 0.460800,488.036119
conf5_4-8x8-05, 3.582976, 342.406392, 3.564544,344.176964
conf5_4-8x8-10, 3.623936, 338.536315, 3.573760,343.289395
conf5_4-8x8-15, 3.579904, 342.700221, 3.564544,344.176964
conf5_4-8x8-20, 3.575808, 343.092779, 3.563520,344.275866
conf6_0-8x8-20, 3.578880, 342.798276, 3.561472,344.473841
conf6_0-8x8-30, 3.581952, 342.504279, 3.562496,344.374825
conf6_0-8x8-80, 3.578880, 342.798276, 3.562496,344.374825
consph, 6.839296, 562.441994, 6.656000,577.930757
cont-201, 0.541696, 518.425083, 0.520192,539.856025
cont-300, 1.205248, 524.742460, 1.134592,557.420437
cont11_l, 8.415232, 409.390909, 8.397824,410.239515
cont1_l, 9.918464, 453.747626, 9.899008,454.639440
cop20k_A, 2.716672, 618.246102, 2.696192,622.942218
copter1, 0.268288, 503.492392, 0.245760,549.645847
copter2, 0.688128, 706.800601, 0.661504,735.247711
crankseg_1, 5.807104, 1169.790359, 5.714944,1188.654611
crankseg_2, 7.435264, 1217.881300, 7.329792,1235.406010
crashbasis, 1.501184, 746.255123, 1.476608,758.675431
crplat2, 1.299456, 473.279157, 1.284096,478.940390
crystk02, 1.067008, 580.963881, 1.046528,592.333058
crystk03, 2.046976, 547.516860, 1.966080,570.044936
crystm02, 0.297984, 693.524475, 0.283648,728.576227
crystm03, 0.437248, 854.464302, 0.421888,885.573435
ct2010, 0.559104, 385.018298, 0.543744,395.894519
ct20stif, 3.776512, 457.304614, 3.750912,460.425716
cvxbqp1, 0.311296, 719.506611, 0.250880,892.775500
cvxqp3, 0.203776, 384.616831, 0.194560,402.835513
cyl6, 1.142784, 400.000560, 0.983040,465.000663
cz10228, 0.209920, 313.646335, 0.195584,336.636127
cz20468, 0.286720, 459.991059, 0.269312,489.724345
cz40948, 0.428032, 616.249984, 0.410624,642.375316
d_pretok, 1.538048, 683.119162, 1.488896,705.670558
darcy003, 2.727936, 492.971560, 2.674688,502.785682
dawson5, 0.797696, 810.957162, 0.778240,831.231059
dbic1, 1.456128, 475.493583, 1.418240,488.196316
dbir1, 0.667648, 1032.424245, 0.631808,1090.989697
dbir2, 0.711680, 1041.509899, 0.684032,1083.606812
dblp-2010, 2.549760, 405.471871, 2.511872,411.587843
dc1, 0.979968, 500.519848, 0.953344,514.497859
dc2, 1.035264, 473.785849, 0.956416,512.845283
dc3, 1.087488, 451.033405, 0.952320,515.051086
de2010, 0.269312, 275.798485, 0.249856,297.274596
debr, 5.774336, 464.876097, 5.739520,467.696024
degme, 14.420992, 360.697652, 14.388224,361.519118
delaunay_n15, 0.275456, 456.663550, 0.262144,479.853517
delaunay_n16, 0.555008, 453.355632, 0.487424,516.215876
delaunay_n17, 1.012736, 496.936318, 0.984064,511.415201
delaunay_n18, 1.973248, 510.116761, 1.920000,524.264012
delaunay_n19, 3.755008, 536.140922, 3.717120,541.605726
delaunay_n20, 7.391232, 544.764130, 7.327744,549.483999
delaunay_n21, 14.500864, 555.346373, 14.472192,556.446622
delaunay_n22, 28.916737, 556.980981, 28.862465,558.028303
deltaX, 0.228352, 693.452929, 0.206848,765.544571
denormal, 0.899072, 823.052400, 0.878592,842.237749
dictionary28, 0.348160, 327.345589, 0.335872,339.321652
dielFilterV2clx, 41.140224, 393.724981, 40.952831,395.526599
dielFilterV2real, 80.023552, 388.197331, 64.015358,485.273070
dielFilterV3clx, 37.125118, 566.925416, 36.078590,583.370162
dielFilterV3real, 97.297409, 587.434479, 83.132416,687.527871
dixmaanl, 0.410624, 467.577933, 0.208896,919.111536
e18, 0.247808, 404.096083, 0.231424,432.704639
e40r0100, 0.765952, 462.535099, 0.750592,472.000345
ecl32, 0.418816, 581.318765, 0.396288,614.365298
ecology1, 5.554176, 575.682169, 5.515264,579.743777
ecology2, 5.553152, 575.787263, 5.519360,579.312493
email-Enron, 0.423936, 555.045278, 0.406528,578.812978
email-EuAll, 1.323008, 203.195152, 1.305600,205.904404
engine, 5.219328, 577.064090, 5.188608,580.480665
enron, 0.478208, 369.570392, 0.457728,386.105986
epb2, 0.257024, 435.824220, 0.246784,453.908192
epb3, 0.613376, 483.748940, 0.599040,495.325878
eu-2005, 21.633024, 569.060039, 21.563393,570.897623
ex11, 0.851968, 824.029456, 0.837632,838.132640
ex19, 0.246784, 673.960058, 0.231424,718.691913
ex35, 0.273408, 534.194765, 0.265216,550.694995
fcondp2, 15.716352, 459.926198, 15.648768,461.912532
fe_body, 0.377856, 554.654492, 0.354304,591.524590
fe_ocean, 0.955392, 548.758037, 0.933888,561.393904
fe_rotor, 1.179648, 718.783612, 1.158144,732.129754
fe_tooth, 0.924672, 626.510239, 0.909312,637.093180
fem_filter, 1.150976, 962.636836, 1.126400,983.639778
fem_hifreq_circuit, 33.238014, 389.707748, 33.106945,391.250587
filter3D, 2.701312, 641.390005, 2.670592,648.767957
finan512, 0.710656, 537.636897, 0.700416,545.497054
finance256, 0.347136, 550.324498, 0.468992,407.336249
fl2010, 3.446784, 435.660648, 3.422208,438.789264
flickr, 10.686464, 589.139380, 10.560512,596.165906
flower_7_4, 0.274432, 471.590479, 0.264192,489.869214
flower_8_4, 0.553984, 433.532820, 0.537600,446.745254
foldoc, 0.221184, 347.910879, 0.210944,364.799763
fome12, 0.302080, 301.966096, 0.277504,328.708491
fome13, 0.531456, 343.275534, 0.504832,361.379289
fome20, 0.434176, 342.934848, 0.412672,360.804889
fome21, 0.819200, 363.510947, 0.790528,376.695272
