Dataset,ASpT_time,ASpT_gflops
ny2010,3.970784,275.539585
obstclae,0.411520,307.321925
offshore,5.925408,458.248744
oh2010,4.186368,270.323489
ohne2,12.608512,561.578467
oilpan,3.759264,612.407196
ok2010,3.118432,261.495107
olafu,0.932960,696.385545
olesnik0,1.429792,333.124136
onera_dual,1.040064,257.953978
onetone1,0.566272,385.497274
onetone2,0.385152,378.245252
opt1,1.732608,713.155675
or2010,2.344960,267.334064
p010,1.090560,69.248829
p2p-Gnutella31,0.870592,108.720136
pa2010,4.775616,275.862974
packing-500x100x100-b050,42.960831,521.054893
para-10,7.385088,469.387655
para-4,7.326720,465.254003
para-5,7.384064,469.452733
para-6,7.391232,468.997471
para-7,7.374848,470.039406
para-8,7.380992,469.648138
para-9,7.380992,469.648138
parabolic_fem,9.217408,255.143306
patents,42.890690,223.388594
patents_main,2.552672,140.638332
pattern1,8.882176,671.794413
pcrystk02,0.824320,752.005418
pcrystk03,1.649824,679.317251
pct20stif,2.864128,602.981519
pdb1HYS,3.891200,714.599495
pds-100,2.964672,236.599954
pds-30,1.017408,214.276276
pds-40,1.397792,213.731373
pds-50,1.679712,225.117822
pds-60,1.984864,232.014123
pds-70,2.305664,231.350962
pds-80,2.524800,235.190362
pds-90,2.738528,237.005806
pds10,0.391936,244.379488
pfinan512,1.198496,318.795294
pkustk01,0.961536,651.877003
pkustk02,0.773120,670.529813
pkustk03,3.306496,605.918258
pkustk04,4.866048,554.853236
pkustk05,2.308096,611.452991
pkustk06,2.663424,617.975775
pkustk07,2.356224,656.998028
pkustk08,3.193856,646.575625
pkustk09,1.679360,603.521330
pkustk10,4.152704,664.085357
pkustk11,5.615616,594.674524
pkustk12,7.772160,618.603174
pkustk13,7.166976,590.872537
pkustk14,14.750720,643.721970
pli,1.303552,662.956092
pltexpa,0.384576,238.074559
poisson3Da,0.437024,516.602478
poisson3Db,3.266560,465.311313
pre2,11.920384,319.951132
preferentialAttachment,2.390016,267.772592
psse0,0.232800,281.599992
psse2,0.285472,258.406003
pwt,0.550976,378.797785
pwtk,12.057248,617.556451
qa8fk,1.803840,589.171177
qa8fm,1.810688,586.942946
raefsky3,1.480384,643.624576
raefsky4,1.202176,707.309959
rail_20209,0.252576,352.801225
rail_79841,1.214048,292.006108
rajat09,0.306080,220.748553
rajat10,0.331520,251.550200
rajat15,1.045504,271.530981
rajat16,2.591744,158.326505
rajat17,2.598912,157.889825
rajat18,2.441216,127.187238
rajat20,2.491392,155.426692
rajat21,6.174720,196.244824
rajat22,1.235968,102.145817
rajat23,2.725888,130.761175
rajat24,5.970944,208.822996
rajat25,2.499584,155.478034
rajat26,1.724416,92.525979
rajat28,2.489344,156.117603
rajat29,11.206656,277.907404
rajat30,12.466176,317.037179
rajat31,50.301697,258.488336
ramage02,2.660352,689.557354
rel8,2.638304,199.361772
rel9,80.295135,188.641529
relat8,3.145376,271.441102
relat9,113.731812,219.212800
rgg_n_2_15_s0,0.461952,444.001108
rgg_n_2_16_s0,1.228768,356.391575
rgg_n_2_17_s0,2.447776,381.082178
rgg_n_2_18_s0,4.939008,400.995938
rgg_n_2_19_s0,10.094688,414.604226
rgg_n_2_20_s0,20.754528,425.028870
rgg_n_2_21_s0,42.653694,434.772040
rgg_n_2_22_s0,87.497566,444.124050
ri2010,0.298432,269.676181
rim,0.977920,664.234951
rlfprim,0.671616,305.499325
rma10,2.551808,595.405520
roadNet-CA,18.266848,193.862512
roadNet-PA,10.174496,193.978109
roadNet-TX,12.955328,189.862025
route,0.859136,154.039037
s3dkq4m2,5.071488,608.375747
s3dkt3m2,3.938944,609.862689
s4dkt3m2,3.936960,610.170043
