Dataset,Sputnik_time,Sputnik_gflops,ours_time,ours_gflops
s4dkt3m2, 861.263855, 11.156697, 5.312512,1808.722560
sc2010, 3453.431885, 0.662092, 2.609152,876.334353
sc205-2r, 230.044678, 1.371437, 0.584704,539.575323
scagr7-2r, 160.696320, 1.913927, 0.530432,579.831097
scfxm1-2b, 66.345985, 4.285009, 0.515072,551.948323
scfxm1-2r, 262.243317, 2.161173, 0.792576,715.077506
scircuit, 3052.153809, 0.804309, 2.596864,945.323349
sctap1-2r, 191.619080, 2.489820, 0.661504,721.230682
sd2010, 817.116150, 1.286780, 1.305600,805.337226
sgpf5y6, 8018.990234, 0.265602, 3.542016,601.312513
shallow_water1, 701.339661, 1.196084, 1.016832,824.974829
shallow_water2, 701.337585, 1.196087, 1.021952,820.841657
shar_te2-b2, 363.080719, 4.234695, 2.045952,751.501471
shar_te2-b3, 4181.100586, 0.490313, 2.605056,786.949671
shermanACb, 36.186111, 10.268620, 0.401408,925.695183
ship_001, 136.651779, 87.003835, 6.304768,1885.751964
ship_003, 1563.146240, 13.242681, 11.067392,1870.381603
shipsec1, 2086.607910, 9.586044, 10.439680,1915.989192
shipsec5, 3393.637451, 7.628843, 13.741056,1884.100096
shipsec8, 1392.664551, 12.230297, 9.064448,1879.066521
shock-9, 139.615234, 2.614362, 0.561152,650.456226
shuttle_eddy, 11.606016, 22.851376, 0.287744,921.699334
shyy161, 611.415039, 1.380716, 1.044480,808.240222
sinc15, 14.590976, 99.748405, 0.897024,1622.505751
sinc18, 29.965311, 83.196018, 1.629184,1530.210552
skirt, 16.959488, 29.664292, 0.401408,1253.316367
sls, 11466.908203, 1.519068, 16.435200,1059.860453
smallworld, 1046.430664, 2.446402, 1.916928,1335.464707
sme3Da, 17.840128, 125.543422, 1.529856,1464.001036
sme3Db, 92.325890, 57.703438, 3.799040,1402.333529
sme3Dc, 198.833145, 40.539314, 5.880832,1370.649441
smt, 76.038147, 126.359616, 5.031936,1909.434205
soc-Epinions1, 601.906189, 2.164162, 1.247232,1044.410953
soc-LiveJournal1, 0.006144, 28747404.399846, 214.645767,822.862995
soc-Slashdot0811, 626.554871, 3.699593, 2.250752,1029.877174
soc-Slashdot0902, 706.501648, 3.436748, 2.204672,1101.328330
soc-sign-Slashdot081106, 625.310730, 2.114840, 1.343488,984.327379
soc-sign-Slashdot090216, 700.751892, 1.993456, 1.413120,988.534398
soc-sign-Slashdot090221, 704.751587, 1.994968, 1.419264,990.624127
soc-sign-epinions, 1813.476318, 1.187726, 2.178048,988.918712
south31, 70.320129, 4.091842, 0.408576,704.248100
spal_004, 481.041412, 245.696928, 159.097855,742.878637
sparsine, 264.606720, 14.986049, 3.225600,1229.355554
spmsrtls, 94.867455, 6.205124, 0.529408,1111.929446
srb1, 320.532471, 23.657850, 3.780608,2005.790932
stat96v2, 2912.913330, 2.506628, 6.021120,1212.663251
stat96v3, 3938.984863, 2.156242, 6.719488,1263.995706
std1_Jac2, 51.993599, 61.483556, 1.902592,1680.208607
std1_Jac2_db, 51.340286, 24.870406, 0.920576,1387.016165
std1_Jac3, 52.165630, 71.444951, 2.077696,1793.799828
std1_Jac3_db, 51.384319, 26.495915, 0.914432,1488.874598
stokes128, 259.030029, 5.520598, 1.118208,1278.832360
stokes64, 16.784384, 21.358368, 0.301056,1190.765316
